interaction_id,user_id,product_id,interaction_type,timestamp,time_of_day,device,location_con,age,gender,location_user,category,price,brand,rating,review_text
0,864,21,1,2024-01-01 00:00:00,4,3,5,0.0,1,3,5,0.5829694323144105,0,0.3913043478260869,
1,364,462,2,2024-01-01 01:00:00,1,2,3,0.8913043478260869,2,4,1,0.4631853469189714,3,0.3913043478260869,
2,425,268,2,2024-01-01 02:00:00,1,1,4,0.34782608695652173,1,4,3,0.8573103671356946,0,0.3913043478260869,
3,825,411,2,2024-01-01 03:00:00,2,0,3,0.8478260869565217,0,2,3,0.2753113375384118,1,0.3913043478260869,
4,802,160,0,2024-01-01 04:00:00,1,2,3,0.06521739130434784,1,2,5,0.11960213488597767,2,0.3913043478260869,
5,476,106,2,2024-01-01 05:00:00,3,0,0,0.7173913043478262,2,1,4,0.8220726184699985,3,0.3913043478260869,
6,310,278,2,2024-01-01 06:00:00,3,0,0,0.9782608695652173,2,3,6,0.22299045770661494,1,0.3913043478260869,
7,496,352,2,2024-01-01 07:00:00,0,1,2,0.6956521739130435,0,4,5,0.6591460456089276,0,0.3913043478260869,
8,716,234,0,2024-01-01 08:00:00,2,1,4,0.6956521739130435,2,1,4,0.1253639010189229,0,0.3913043478260869,
9,351,17,2,2024-01-01 09:00:00,2,1,0,0.5217391304347826,2,4,3,0.2347565906517872,0,0.3913043478260869,
10,481,241,2,2024-01-01 10:00:00,1,0,3,0.0,0,4,1,0.08495067119521268,3,0.3913043478260869,
11,209,116,0,2024-01-01 11:00:00,2,2,0,0.673913043478261,1,4,4,0.3059194565744784,3,0.3913043478260869,
12,699,285,2,2024-01-01 12:00:00,1,1,2,0.4130434782608696,0,0,1,0.6756226750768236,2,0.3913043478260869,
13,42,281,0,2024-01-01 13:00:00,1,1,2,0.06521739130434784,1,3,0,0.5680697072618469,1,0.3913043478260869,
14,537,143,2,2024-01-01 14:00:00,2,1,2,0.5,0,2,4,0.03325650978489407,2,0.3913043478260869,
15,567,204,0,2024-01-01 15:00:00,0,0,4,0.13043478260869568,1,0,6,0.1292455118874333,3,0.3913043478260869,
16,579,38,0,2024-01-01 16:00:00,1,1,0,0.7608695652173914,1,3,3,0.5929969270580625,4,0.3913043478260869,
17,90,416,2,2024-01-01 17:00:00,3,0,4,0.30434782608695654,0,2,1,0.4154536632702572,0,0.3913043478260869,
18,262,153,0,2024-01-01 18:00:00,3,1,4,0.02173913043478265,2,3,0,0.6371098172408216,3,0.3913043478260869,
19,890,175,2,2024-01-01 19:00:00,2,1,0,0.7391304347826086,0,1,3,0.895924308588064,0,0.3913043478260869,
20,218,448,1,2024-01-01 20:00:00,2,1,2,0.673913043478261,1,1,5,0.03238719068413391,1,0.3913043478260869,
21,897,240,2,2024-01-01 21:00:00,1,0,4,0.34782608695652173,0,3,3,0.5791484716157205,4,0.3913043478260869,
22,920,421,0,2024-01-01 22:00:00,1,1,2,0.8478260869565217,2,2,3,0.027090409186479057,0,0.5,Great product!
23,438,385,2,2024-01-01 23:00:00,3,2,3,0.673913043478261,0,1,3,0.7845503800743976,2,0.3913043478260869,
24,397,368,1,2024-01-02 00:00:00,1,1,4,0.4565217391304348,2,1,3,0.3548641436196021,4,0.3913043478260869,
25,396,133,2,2024-01-02 01:00:00,3,1,3,0.4782608695652174,1,0,0,0.8635775513504771,1,0.3913043478260869,
26,722,45,1,2024-01-02 02:00:00,1,1,2,0.4347826086956522,1,1,3,0.05733462720362284,0,0.3913043478260869,
27,986,49,1,2024-01-02 03:00:00,0,2,1,0.9130434782608696,0,1,6,0.9698770823224971,3,0.3913043478260869,
28,894,165,2,2024-01-02 04:00:00,0,0,2,0.5869565217391305,2,1,0,0.8821971534853631,3,0.3913043478260869,
29,784,105,0,2024-01-02 05:00:00,3,1,3,0.8043478260869565,1,1,4,0.9373281578521754,0,0.3913043478260869,
30,572,215,1,2024-01-02 06:00:00,0,0,4,1.0,2,0,2,0.47586123241145073,2,0.3913043478260869,
31,853,145,2,2024-01-02 07:00:00,0,1,0,0.5652173913043479,1,1,3,0.41597929807536793,3,0.3913043478260869,
32,799,410,2,2024-01-02 08:00:00,2,1,2,0.34782608695652173,2,1,6,0.44424227721170956,4,0.3913043478260869,
33,486,424,2,2024-01-02 09:00:00,1,1,1,0.5,1,4,4,0.22840853954391074,2,0.3913043478260869,
34,481,71,2,2024-01-02 10:00:00,2,0,3,0.0,0,4,1,0.9964014232573185,2,0.3913043478260869,
35,752,475,2,2024-01-02 11:00:00,3,1,0,0.9782608695652173,0,0,2,0.009643377001455606,2,0.3913043478260869,
36,466,329,2,2024-01-02 12:00:00,2,1,1,0.4347826086956522,0,3,4,0.2299652272359696,2,0.3913043478260869,
37,570,272,2,2024-01-02 13:00:00,3,1,3,0.6521739130434783,1,0,3,0.367560245835355,0,0.3913043478260869,
38,933,246,2,2024-01-02 14:00:00,0,1,0,0.4565217391304348,0,2,3,0.5437489891638363,1,0.3913043478260869,
39,839,445,2,2024-01-02 15:00:00,2,1,4,0.8913043478260869,1,2,1,0.25505418081837294,4,0.3913043478260869,
40,677,412,0,2024-01-02 16:00:00,0,1,3,0.19565217391304346,1,1,6,0.6220483584020703,0,0.3913043478260869,
41,441,185,0,2024-01-02 17:00:00,1,1,2,0.9565217391304348,0,2,5,0.8667313601811418,1,0.3913043478260869,
42,266,69,2,2024-01-02 18:00:00,0,2,0,0.7826086956521738,2,2,3,0.8067281255054181,0,0.3913043478260869,
43,264,461,0,2024-01-02 19:00:00,1,1,4,0.23913043478260876,1,0,5,0.5155870936438622,3,0.3913043478260869,
44,52,149,0,2024-01-02 20:00:00,0,1,4,0.9347826086956521,1,0,3,0.8671154779233382,1,0.3913043478260869,
45,524,245,1,2024-01-02 21:00:00,2,1,2,0.8695652173913044,1,2,4,0.782144590004852,2,0.3913043478260869,
46,516,261,2,2024-01-02 22:00:00,2,1,3,0.34782608695652173,2,2,0,0.04124211547792334,2,0.3913043478260869,
47,612,25,2,2024-01-02 23:00:00,0,0,0,0.7826086956521738,1,3,3,0.2070192463205564,0,0.3913043478260869,
48,57,422,1,2024-01-03 00:00:00,3,1,0,0.34782608695652173,1,3,6,0.8399846352903121,0,0.3913043478260869,
49,820,139,1,2024-01-03 01:00:00,3,0,0,0.6521739130434783,1,4,3,0.5832322497169659,1,0.3913043478260869,
50,38,98,0,2024-01-03 02:00:00,1,0,1,0.4347826086956522,2,4,1,0.08943878376192788,2,0.3913043478260869,
51,235,397,0,2024-01-03 03:00:00,1,0,0,0.043478260869565244,0,1,6,0.8948528222545691,0,0.3913043478260869,
52,950,277,2,2024-01-03 04:00:00,0,1,1,0.6521739130434783,2,1,6,0.7391234028788614,0,0.3913043478260869,
53,382,50,2,2024-01-03 05:00:00,2,1,1,0.9565217391304348,0,2,0,0.9493571081999029,1,0.3913043478260869,
54,602,150,2,2024-01-03 06:00:00,1,1,0,0.13043478260869568,2,2,6,0.45382500404334464,0,0.3913043478260869,
55,729,431,2,2024-01-03 07:00:00,0,0,0,0.7173913043478262,2,4,6,0.5632985605693029,2,0.3913043478260869,
56,711,454,0,2024-01-03 08:00:00,1,1,4,0.02173913043478265,0,1,3,0.09467491508976225,0,0.3913043478260869,
57,645,103,2,2024-01-03 09:00:00,2,1,3,0.26086956521739135,2,4,1,0.06863577551350478,0,0.3913043478260869,
58,296,433,2,2024-01-03 10:00:00,1,1,4,0.6956521739130435,1,1,1,0.3261361798479702,3,0.3913043478260869,
59,391,88,1,2024-01-03 11:00:00,0,0,3,0.30434782608695654,2,2,1,0.632561054504286,1,0.3913043478260869,
60,205,140,2,2024-01-03 12:00:00,1,0,3,0.02173913043478265,0,4,4,0.8423904253598576,3,0.3913043478260869,
61,332,212,1,2024-01-03 13:00:00,3,1,3,0.6304347826086956,1,2,1,0.49848374575448806,0,0.3913043478260869,
62,589,232,1,2024-01-03 14:00:00,1,1,0,0.7391304347826086,1,3,1,0.39456978812874005,2,0.3913043478260869,
63,725,393,2,2024-01-03 15:00:00,2,1,4,0.4565217391304348,0,0,2,0.8084263302603915,2,0.3913043478260869,
64,510,182,2,2024-01-03 16:00:00,2,1,2,0.23913043478260876,1,4,6,0.826863981885816,3,0.3913043478260869,
65,176,250,2,2024-01-03 17:00:00,2,0,4,0.8260869565217392,0,4,3,0.9112890182759179,2,0.3913043478260869,
66,392,8,2,2024-01-03 18:00:00,2,0,2,0.5869565217391305,1,2,3,0.16802118712599062,0,0.3913043478260869,
67,367,78,2,2024-01-03 19:00:00,0,0,4,0.34782608695652173,0,2,5,0.25578198285621867,1,0.3913043478260869,
68,853,51,2,2024-01-03 20:00:00,1,1,2,0.5652173913043479,1,1,1,0.5128376192786673,0,0.3913043478260869,
69,786,385,1,2024-01-03 21:00:00,1,0,3,0.8043478260869565,0,1,3,0.7845503800743976,2,0.3913043478260869,
70,653,408,2,2024-01-03 22:00:00,1,2,3,0.673913043478261,2,1,4,0.03220524017467249,4,0.3913043478260869,
71,314,268,0,2024-01-03 23:00:00,1,2,1,0.9565217391304348,1,1,3,0.8573103671356946,0,0.3913043478260869,
72,731,225,2,2024-01-04 00:00:00,0,0,1,0.7391304347826086,2,0,3,0.3709768720685751,2,0.3913043478260869,
73,365,50,2,2024-01-04 01:00:00,2,1,3,0.02173913043478265,1,1,0,0.9493571081999029,1,0.3913043478260869,
74,380,185,1,2024-01-04 02:00:00,1,0,4,0.13043478260869568,1,2,5,0.8667313601811418,1,0.3913043478260869,
75,60,33,2,2024-01-04 03:00:00,1,0,4,0.06521739130434784,2,1,6,0.14764273006631087,4,0.3913043478260869,
76,801,290,2,2024-01-04 04:00:00,2,0,0,0.6086956521739131,2,1,3,0.20679686236454797,3,0.3913043478260869,
77,501,229,0,2024-01-04 05:00:00,3,1,0,0.043478260869565244,0,4,4,0.7963771631893902,2,0.3913043478260869,
78,237,130,0,2024-01-04 06:00:00,3,2,4,0.7608695652173914,0,3,3,0.7101730551512211,1,0.3913043478260869,
79,193,489,0,2024-01-04 07:00:00,2,1,0,0.30434782608695654,2,0,0,0.27118712599061945,0,0.3913043478260869,
80,673,119,2,2024-01-04 08:00:00,1,1,3,0.32608695652173914,0,2,4,0.5770257156720039,3,0.3913043478260869,
81,958,442,2,2024-01-04 09:00:00,2,1,2,0.10869565217391308,1,1,6,0.8890910561216239,3,0.3913043478260869,
82,220,325,1,2024-01-04 10:00:00,1,0,0,0.21739130434782616,1,2,2,0.6900574154940967,0,0.3913043478260869,
83,59,246,1,2024-01-04 11:00:00,1,1,1,0.8478260869565217,1,1,3,0.5437489891638363,1,0.3913043478260869,
84,127,431,2,2024-01-04 12:00:00,3,1,2,0.0,0,2,6,0.5632985605693029,2,0.3913043478260869,
85,985,191,0,2024-01-04 13:00:00,3,0,4,0.26086956521739135,0,2,1,0.9365599223677827,4,0.3913043478260869,
86,680,496,2,2024-01-04 14:00:00,1,0,3,0.15217391304347827,0,2,3,0.5424146854277858,3,0.3913043478260869,
87,987,402,2,2024-01-04 15:00:00,1,0,1,0.043478260869565244,2,1,5,0.9550986576095746,4,0.3913043478260869,
88,154,322,2,2024-01-04 16:00:00,1,1,1,0.30434782608695654,0,3,3,0.7250727802037846,2,0.3913043478260869,
89,912,209,2,2024-01-04 17:00:00,3,0,0,0.3695652173913043,2,0,5,0.6343603428756267,0,0.3913043478260869,
90,374,102,2,2024-01-04 18:00:00,1,1,2,0.8913043478260869,0,3,2,0.6329249555232088,0,0.3913043478260869,
91,618,328,2,2024-01-04 19:00:00,2,1,3,0.4565217391304348,2,0,6,0.49723030891153164,3,0.3913043478260869,
92,776,371,2,2024-01-04 20:00:00,0,1,0,0.4782608695652174,1,4,4,0.953137635452046,0,0.3913043478260869,
93,918,459,0,2024-01-04 21:00:00,0,0,3,1.0,0,0,2,0.3524179201035096,0,0.3913043478260869,
94,863,132,0,2024-01-04 22:00:00,1,1,3,0.7608695652173914,1,0,1,0.21081999029597284,1,0.3913043478260869,
95,898,322,0,2024-01-04 23:00:00,2,1,1,0.8260869565217392,0,2,3,0.7250727802037846,2,0.3913043478260869,
96,785,138,1,2024-01-05 00:00:00,1,1,3,0.7173913043478262,2,2,5,0.021591460456089277,1,0.3913043478260869,
97,582,120,2,2024-01-05 01:00:00,2,1,0,0.8260869565217392,2,2,5,0.6978206372311175,2,0.3913043478260869,
98,994,93,2,2024-01-05 02:00:00,3,2,2,0.9347826086956521,0,2,2,0.528525796538897,3,0.3913043478260869,
99,433,451,0,2024-01-05 03:00:00,3,2,1,0.23913043478260876,0,1,4,0.2950024260067928,2,0.3913043478260869,
100,970,452,2,2024-01-05 04:00:00,1,1,2,0.5434782608695652,2,2,4,0.8796902797994501,2,0.3913043478260869,
101,205,128,2,2024-01-05 05:00:00,3,1,1,0.02173913043478265,0,4,3,0.4781659388646288,1,0.3913043478260869,
102,384,90,2,2024-01-05 06:00:00,1,1,1,0.0,0,0,3,0.8199498625262818,2,0.3913043478260869,
103,476,91,0,2024-01-05 07:00:00,0,0,2,0.7173913043478262,2,1,3,0.33321203299369234,1,0.3913043478260869,
104,786,62,2,2024-01-05 08:00:00,2,1,1,0.8043478260869565,0,1,3,0.3620815138282387,4,0.3913043478260869,
105,882,28,0,2024-01-05 09:00:00,2,1,2,1.0,1,0,2,0.3002587740579007,0,0.3913043478260869,
106,833,209,2,2024-01-05 10:00:00,0,1,0,0.673913043478261,0,4,5,0.6343603428756267,0,0.3913043478260869,
107,979,11,0,2024-01-05 11:00:00,0,1,1,0.5434782608695652,0,2,2,0.3559962801229177,3,0.3913043478260869,
108,336,332,0,2024-01-05 12:00:00,0,1,3,0.7391304347826086,1,1,3,0.3016941614103186,4,0.3913043478260869,
109,864,296,0,2024-01-05 13:00:00,0,1,4,0.0,1,3,0,0.47329370855571734,2,0.3913043478260869,
110,336,129,2,2024-01-05 14:00:00,3,1,0,0.7391304347826086,1,1,4,0.144852822254569,4,0.3913043478260869,
111,202,292,2,2024-01-05 15:00:00,2,1,2,0.7826086956521738,1,0,1,0.8996644023936601,4,0.3913043478260869,
112,159,172,0,2024-01-05 16:00:00,2,2,1,0.673913043478261,0,4,0,0.783135209445253,1,0.3913043478260869,
113,536,207,2,2024-01-05 17:00:00,0,1,2,0.17391304347826086,1,2,4,0.2687206857512534,1,0.3913043478260869,
114,388,431,2,2024-01-05 18:00:00,1,1,4,0.28260869565217395,0,2,6,0.5632985605693029,2,0.3913043478260869,
115,764,23,2,2024-01-05 19:00:00,1,2,1,0.8260869565217392,0,3,1,0.15019003719877086,1,0.3913043478260869,
116,672,98,1,2024-01-05 20:00:00,1,0,0,0.043478260869565244,2,0,1,0.08943878376192788,2,0.3913043478260869,
117,571,405,2,2024-01-05 21:00:00,1,1,0,0.3913043478260869,0,1,2,0.481461264758208,4,0.3913043478260869,
118,530,355,0,2024-01-05 22:00:00,3,0,2,0.7608695652173914,0,3,6,0.4981602781821123,0,0.3913043478260869,
119,68,138,2,2024-01-05 23:00:00,2,1,0,0.9347826086956521,0,4,5,0.021591460456089277,1,0.3913043478260869,
